ActivityId,Type,Name,Website,Google_Map_Link,Total_reviews,ImageCount
Kyoto-1,Buddhist temple,Kinkaku-ji,https://www.shokoku-ji.jp/kinkakuji/,"https://www.google.com/maps/place/Kinkaku-ji/@35.03937,135.7292431,17z/data=!4m15!1m8!3m7!1s0x6001a820c0eb46bd:0xee4272b1c22645f!2sKinkaku-ji!8m2!3d35.03937!4d135.7292431!10e1!16zL20vMDFrbjR3!3m5!1s0x6001a820c0eb46bd:0xee4272b1c22645f!8m2!3d35.03937!4d135.7292431!16zL20vMDFrbjR3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",59180,9
Kyoto-2,Amusement center,Round One Stadium Kyoto Fushimi shop,https://www.round1.co.jp/shop/tenpo/kyoto-kyotofushimi.html,"https://www.google.com/maps/place/Round+One+Stadium+Kyoto+Fushimi+shop/@34.9359585,135.7462391,17z/data=!3m1!5s0x6001057917660bbf:0x664d02770029ec47!4m15!1m8!3m7!1s0x600105793d611e89:0x89b0a1c992509011!2sRound+One+Stadium+Kyoto+Fushimi+shop!8m2!3d34.9359585!4d135.7462391!10e1!16s%2Fg%2F1tnl18wl!3m5!1s0x600105793d611e89:0x89b0a1c992509011!8m2!3d34.9359585!4d135.7462391!16s%2Fg%2F1tnl18wl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",1049,0
Kyoto-3,Gymnastics center,Yokooji Sports Park Gymnasium,http://www.kyoto-sports.or.jp/facilities/detail.php?id=21,"https://www.google.com/maps/place/Yokooji+Sports+Park+Gymnasium/@34.9152776,135.7328855,17z/data=!3m1!5s0x60010540f7fba4cf:0xfc1aa7290cfe7ed9!4m15!1m8!3m7!1s0x6001054043a20c45:0xaca24218f79472c3!2sYokooji+Sports+Park+Gymnasium!8m2!3d34.9152776!4d135.7328855!10e1!16s%2Fg%2F1hb_ftw4c!3m5!1s0x6001054043a20c45:0xaca24218f79472c3!8m2!3d34.9152776!4d135.7328855!16s%2Fg%2F1hb_ftw4c?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",185,0
Kyoto-4,Park,Fushimi-Momoyama-jō Castle Athletic Park,https://www.kyoto-taiikukan.com/sports-park/fushimi-momoyamajo,"https://www.google.com/maps/place/Fushimi-Momoyama-j%C5%8D+Castle+Athletic+Park/@34.9399775,135.7776069,17z/data=!4m15!1m8!3m7!1s0x60010f5cb679bc77:0x80c6839900db8c33!2sFushimi-Momoyama-j%C5%8D+Castle+Athletic+Park!8m2!3d34.9399775!4d135.7776069!10e1!16s%2Fg%2F11frp9g5j5!3m5!1s0x60010f5cb679bc77:0x80c6839900db8c33!8m2!3d34.9399775!4d135.7776069!16s%2Fg%2F11frp9g5j5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",123,1
Kyoto-5,Sports complex,"Gymnasium, Fushimi Port Park",https://fushimi-port-park.jp/,"https://www.google.com/maps/place/Gymnasium,+Fushimi+Port+Park/@34.9252638,135.7578823,17z/data=!4m15!1m8!3m7!1s0x60010ff36a872963:0xb8ffb8b1eb04b6f1!2sGymnasium,+Fushimi+Port+Park!8m2!3d34.9252638!4d135.7578823!10e1!16s%2Fg%2F11byyf_ml_!3m5!1s0x60010ff36a872963:0xb8ffb8b1eb04b6f1!8m2!3d34.9252638!4d135.7578823!16s%2Fg%2F11byyf_ml_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoASAFQAw%3D%3D",167,0
Kyoto-6,Sports complex,Kyoto Aquarena,http://www.kyoto-aquarena.com/?utm_source=google&utm_medium=referral&utm_campaign=npdisf00_gbp&utm_content=250502,"https://www.google.com/maps/place/Kyoto+Aquarena/@34.9902108,135.7166044,17z/data=!4m15!1m8!3m7!1s0x600106563886a08d:0xb191a30fcb86a841!2sKyoto+Aquarena!8m2!3d34.9902108!4d135.7166044!10e1!16s%2Fg%2F120zpbfw!3m5!1s0x600106563886a08d:0xb191a30fcb86a841!8m2!3d34.9902108!4d135.7166044!16s%2Fg%2F120zpbfw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",515,9
Kyoto-7,Athletic track,Takebishi Stadium Kyoto,http://www.kyoto-sports.or.jp/facilities/detail.php?id=4,"https://www.google.com/maps/place/Takebishi+Stadium+Kyoto/@34.993489,135.7140134,17z/data=!4m15!1m8!3m7!1s0x600106ff8613c7a3:0xd525a6d8ecd3301d!2sTakebishi+Stadium+Kyoto!8m2!3d34.993489!4d135.7140134!10e1!16zL20vMGM3MDV3!3m5!1s0x600106ff8613c7a3:0xd525a6d8ecd3301d!8m2!3d34.993489!4d135.7140134!16zL20vMGM3MDV3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",1401,1
Kyoto-8,Baseball field,Wakasa Stadium Kyoto,,"https://www.google.com/maps/place/Wakasa+Stadium+Kyoto/@34.9925714,135.7157585,17z/data=!4m15!1m8!3m7!1s0x60010655c6985de7:0xd6a801788364ae24!2sWakasa+Stadium+Kyoto!8m2!3d34.9925714!4d135.7157585!10e1!16s%2Fg%2F1218c_r3!3m5!1s0x60010655c6985de7:0xd6a801788364ae24!8m2!3d34.9925714!4d135.7157585!16s%2Fg%2F1218c_r3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",394,0
Kyoto-9,Bocce ball court,Takaragaike Park Football Stadium,http://www.kyoto-sports.or.jp/facilities/detail.php?id=14,"https://www.google.com/maps/place/Takaragaike+Park+Football+Stadium/@35.053986,135.774453,17z/data=!4m15!1m8!3m7!1s0x600108215d620771:0xcfe1675b637dd9c3!2sTakaragaike+Park+Football+Stadium!8m2!3d35.053986!4d135.774453!10e1!16s%2Fg%2F122wt69f!3m5!1s0x600108215d620771:0xcfe1675b637dd9c3!8m2!3d35.053986!4d135.774453!16s%2Fg%2F122wt69f?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",400,0
Kyoto-10,Gymnastics center,Shimadzu Arena Kyoto (Kyoto Prefectural Gymnasium),http://www.kyoto-furitutaiikukan.jp/,"https://www.google.com/maps/place/Shimadzu+Arena+Kyoto+(Kyoto+Prefectural+Gymnasium)/@35.0227531,135.7285439,17z/data=!3m1!5s0x6001079421c09d55:0x710204021064f9d9!4m15!1m8!3m7!1s0x6001079421070a87:0xa85c1c1da44db61d!2sShimadzu+Arena+Kyoto+(Kyoto+Prefectural+Gymnasium)!8m2!3d35.0227531!4d135.7285439!10e1!16s%2Fg%2F1q5bm8c5_!3m5!1s0x6001079421070a87:0xa85c1c1da44db61d!8m2!3d35.0227531!4d135.7285439!16s%2Fg%2F1q5bm8c5_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",151,0
